Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
54,Chucky Brown,SF,33,SAC,18,92,10.1,.377,.000,.074,11.8,26.2,19.2,9.1,1.1,2.9,15.2,15.6,,-0.1,0.2,0.1,.052,,-3.6,0.8,-2.8,0.0,brownch01
55,Damone Brown,SF,22,PHI,17,67,1.6,.469,.048,.381,3.4,3.4,3.4,5.0,0.8,1.1,26.8,22.9,,-0.2,0.1,-0.1,-0.096,,-8.5,-2.5,-11.1,-0.1,brownda02
56,Dee Brown,PG,33,ORL,7,65,-3.2,.175,.600,.000,0.0,15.6,7.7,4.2,2.4,1.1,16.7,16.5,,-0.4,0.1,-0.3,-0.214,,-10.7,-2.5,-13.2,-0.2,brownde01
57,Ernest Brown,C,22,MIA,3,21,-9.7,.193,.000,.667,5.6,27.6,16.7,0.0,0.0,3.7,27.9,24.5,,-0.2,0.0,-0.2,-0.349,,-16.5,-1.7,-18.2,-0.1,browner01
58,Kedrick Brown,SF,20,BOS,29,245,11.9,.400,.386,.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16.0,,-0.1,0.5,0.4,.075,,-2.3,3.1,0.8,0.2,brownke01
59,Kwame Brown,PF,19,WAS,57,817,11.2,.450,.004,.407,8.9,19.4,14.1,8.4,1.1,2.4,13.0,18.6,,0.0,0.8,0.8,.048,,-3.1,-0.9,-4.0,-0.4,brownkw01
60,P.J. Brown,C,32,CHH,80,2563,15.1,.545,.000,.374,12.2,22.8,17.5,6.6,1.2,2.2,12.2,12.4,,4.6,3.6,8.2,.154,,0.1,0.2,0.3,1.5,brownpj01
61,Randy Brown,PG,33,BOS,1,6,8.6,.000,.000,.000,0.0,0.0,0.0,46.4,0.0,13.0,0.0,7.6,,0.0,0.0,0.0,.025,,-1.0,5.2,4.2,0.0,brownra02
62,Tierre Brown,SG,22,HOU,40,403,12.4,.483,.104,.243,3.4,8.6,6.0,29.5,2.6,0.5,23.9,19.3,,-0.1,0.2,0.1,.006,,-2.3,-1.0,-3.3,-0.1,brownti01
63,Rick Brunson,PG,29,POR,59,520,12.2,.477,.097,.363,5.1,10.3,7.7,32.7,2.6,0.3,26.4,15.6,,0.2,0.5,0.7,.066,,-1.6,0.5,-1.1,0.1,brunsri01
64,Kobe Bryant*,SG,23,LAL,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,,8.9,3.8,12.7,.199,,4.3,0.3,4.6,5.2,bryanko01
65,Mark Bryant,PF,36,SAS,30,206,11.5,.478,.000,.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,.133,,-2.9,0.1,-2.8,0.0,bryanma01
66,Greg Buckner,SG,25,DAL,44,885,13.3,.566,.081,.293,8.6,13.1,10.9,7.9,1.8,1.5,10.8,12.8,,1.7,0.6,2.3,.126,,-0.4,0.6,0.2,0.5,buckngr01
67,Jud Buechler,SF,33,TOT,66,684,7.8,.463,.508,.034,4.7,14.3,9.5,6.5,1.6,0.8,11.1,8.8,,0.2,0.6,0.8,.059,,-2.4,0.2,-2.2,0.0,buechju01
67,Jud Buechler,SF,33,PHO,6,54,5.1,.500,1.000,.000,4.1,12.7,8.4,7.5,1.0,0.0,14.3,5.8,,0.0,0.0,0.1,.064,,-3.3,-0.5,-3.8,0.0,buechju01
67,Jud Buechler,SF,33,ORL,60,630,8.0,.461,.482,.036,4.8,14.5,9.6,6.5,1.6,0.9,11.0,9.1,,0.2,0.6,0.8,.058,,-2.3,0.2,-2.1,0.0,buechju01
68,Rodney Buford,SG,24,MEM,63,1769,10.1,.470,.118,.135,3.3,13.9,8.6,7.0,1.3,0.5,9.1,17.8,,-0.2,1.0,0.8,.022,,-3.0,-1.1,-4.2,-1.0,buforro01
69,Matt Bullard,PF,34,CHH,31,350,6.8,.436,.496,.104,3.3,12.0,7.7,7.4,0.3,0.4,9.1,17.3,,-0.1,0.2,0.1,.016,,-2.8,-1.9,-4.7,-0.2,bullama01
70,Mitchell Butler,SG,31,POR,11,90,9.4,.513,.130,.522,7.7,10.6,9.1,8.6,0.0,0.8,15.0,16.9,,0.1,0.0,0.1,.057,,-2.3,-2.5,-4.7,-0.1,butlemi02
71,Jason Caffey,PF,28,MIL,23,283,11.2,.544,.014,.597,10.3,10.1,10.2,6.7,0.8,1.3,17.3,18.2,,0.2,0.1,0.3,.056,,-3.2,-2.2,-5.5,-0.2,caffeja01
72,Marcus Camby,C,27,NYK,29,1007,15.1,.483,.003,.341,10.2,26.8,18.5,5.6,1.8,3.7,11.2,17.4,,0.5,1.7,2.1,.102,,-1.0,1.3,0.4,0.6,cambyma01
73,Elden Campbell,PF,33,CHH,77,2156,19.5,.558,.003,.484,7.0,21.0,14.0,8.5,1.5,4.6,12.5,23.3,,4.0,3.5,7.6,.168,,0.5,1.5,1.9,2.2,campbel01
