Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,season
475,Isaiah Todd,PF,21,WAS,6,1,61,3,19,.158,1,10,.100,2,9,.222,.184,2,2,1.000,2,10,12,4,1,0,2,4,9,toddis01,2023
476,Obi Toppin,PF,24,NYK,67,5,1050,187,419,.446,85,247,.344,102,172,.593,.548,38,47,.809,29,158,187,66,23,12,38,68,497,toppiob01,2023
477,Juan Toscano-Anderson,SF,29,TOT,52,9,700,64,143,.448,8,43,.186,56,100,.560,.476,19,24,.792,28,96,124,65,16,10,34,80,155,toscaju01,2023
477,Juan Toscano-Anderson,SF,29,LAL,30,7,365,33,66,.500,4,20,.200,29,46,.630,.530,11,15,.733,14,47,61,25,10,7,17,46,81,toscaju01,2023
477,Juan Toscano-Anderson,SF,29,UTA,22,2,335,31,77,.403,4,23,.174,27,54,.500,.429,8,9,.889,14,49,63,40,6,3,17,34,74,toscaju01,2023
478,Karl-Anthony Towns,PF,27,MIN,29,29,957,212,428,.495,60,164,.366,152,264,.576,.565,118,135,.874,48,188,236,140,20,17,86,111,602,townska01,2023
479,Gary Trent Jr.,SG,24,TOR,66,44,2118,405,935,.433,166,450,.369,239,485,.493,.522,172,205,.839,30,143,173,106,104,14,55,102,1148,trentga02,2023
480,P.J. Tucker,PF,37,PHI,75,75,1920,96,225,.427,55,140,.393,41,85,.482,.549,19,23,.826,95,200,295,60,39,15,44,180,266,tuckepj01,2023
481,Myles Turner,C,26,IND,62,62,1825,402,733,.548,93,249,.373,309,484,.638,.612,216,276,.783,88,378,466,89,36,140,103,215,1113,turnemy01,2023
482,Stanley Umude,SG,23,DET,1,0,2,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,0,0,0,1,1,0,0,2,umudest01,2023
483,Jonas Valančiūnas,C,30,NOP,79,79,1968,446,816,.547,38,109,.349,408,707,.577,.570,185,224,.826,225,579,804,140,20,52,159,245,1115,valanjo01,2023
484,Jarred Vanderbilt,PF,23,TOT,78,65,1879,247,451,.548,29,90,.322,218,361,.604,.580,96,139,.691,170,412,582,184,83,21,97,190,619,vandeja01,2023
484,Jarred Vanderbilt,PF,23,UTA,52,41,1254,173,311,.556,19,57,.333,154,254,.606,.587,67,102,.657,121,288,409,142,53,15,68,133,432,vandeja01,2023
484,Jarred Vanderbilt,PF,23,LAL,26,24,625,74,140,.529,10,33,.303,64,107,.598,.564,29,37,.784,49,124,173,42,30,6,29,57,187,vandeja01,2023
485,Fred VanVleet,PG,28,TOR,69,69,2535,437,1112,.393,207,606,.342,230,506,.455,.486,254,283,.898,30,250,280,495,123,38,140,193,1335,vanvlfr01,2023
486,Devin Vassell,SG,22,SAS,38,32,1178,261,595,.439,103,266,.387,158,329,.480,.525,78,100,.780,8,140,148,136,43,17,57,57,703,vassede01,2023
487,Gabe Vincent,PG,26,MIA,68,34,1759,228,567,.402,117,350,.334,111,217,.512,.505,68,78,.872,27,118,145,167,62,5,92,154,641,vincega01,2023
488,Noah Vonleh,C,27,BOS,23,1,171,11,24,.458,1,4,.250,10,20,.500,.479,2,2,1.000,18,30,48,7,2,8,11,35,25,vonleno01,2023
489,Nikola Vučević,C,32,CHI,82,82,2746,597,1148,.520,121,347,.349,476,801,.594,.573,132,158,.835,159,744,903,265,60,57,139,179,1447,vucevni01,2023
